IDs: Names
2141: L-Lactate ([S]-Lactate, Lactate, D-Lactate, [R]-Lactate)
2142: L-Leucine (Leucine)
2143: L-Lysine (Lysine, D-Lysine)
2144: L-Malate ([S]-Malate, L-Malic acid, Malate, D-Malate, [R]-Malate)
2145: L-Methionine (D-Methionine)
2146: L-Ornithine (Ornithine)
2147: L-Phenylalanine (Phenylalanine, D-Phenylalanine)
2148: L-Proline (Proline, D-Proline)
2149: L-Rhamnose (Rhamnose, D-Rhamnose)
2150: L-Selenocysteine
2151: L-Serine (Serine, D-Serine)
2152: L-Sorbose (Sorbose)
2153: L-Threonine (Threonine)
2154: L-Tryptophan (Tryptophan)
2155: L-Tyrosine (Tyrosine)
2156: L-Valine (Valine, D-Valine)
2157: Lactose
2158: Linoleic acid (Omega-6 fatty acid)
2159: Lithocholic acid
2160: Malonate
2161: Maltose
2162: Melibiose
2163: Menaquinone (Vitamin K2)
2164: meso-Tartrate (meso-Tartaric acid, Tartrate, L-tartrate, L-Tartaric acid)
2165: Methane (CH4)
2166: Methanol
2167: Methylamine (Monomethylamine)
2170: Mucin 
2171: Myristic acid (Tetradecanoic acid, Tetradecanoate)
2172: N-Acetyl-D-Glucosamine (N-Acetylglucosamine)
2173: N-Acetyl-D-mannosamine
2174: N-Acetylgalactosamine (N-Acetyl-D-galactosamine)
2175: N-Acetylneuraminic acid (N-acetylneuraminate, Neu5Ac, Sialic acid)
2176: N2
2178: NH3 (Ammonia, NH4+, Ammonium)
2179: Niacin (Vitamin B3, Nicotinic acid, Nicotinate, Nicotinamide, Vitamin B3)
2180: Nitrate
2181: Nitric Oxide (NO)
2182: Nitrite
2183: Octanoate (Caprylic acid)
2184: Oleic acid ([9Z]-Octadecenoic acid)
2185: Orotic acid (Orotate)
2186: Oxalate
2187: Oxaloacetate
2188: p-Cresol (4-methylphenol, 4-cresol)
2189: Palmitate (Palmitic acid, Hexadecanoic acid, Hexadecanoate)
2190: Pantothenic acid (Vitamin B5, Pantothenate)
2191: Pectin
2192: Pelargonic acid (Pelargonate, Nonanoic acid)
2193: Pentanol
2194: Phenol
2195: Phenylacetate
2196: Phenylethylamine
2197: Phylloquinone (Vitamin K1)
2198: Pimelate
2199: Polypeptide
2200: Propanal
2201: Propanoate (Propionate)
2202: Propanol (n-propanol, 1-Propanol)
2203: Putrescine
2204: Pyridoxal (Vitamin B6, Pyridoxine, Pyridoxamine, Vitamin B6)
2205: Pyruvate
2206: Raffinose
2207: Retinoate
2208: Retinol (Vitamin A)
2209: Ribitol
2210: Riboflavin (Vitamin B2)
2211: Shikimate
2212: Spermidine
2213: Spermine
2214: Stachyose
2215: Starch 
2216: Stearic acid (Stearate, Octadecanoate)
2217: Succinate
2218: Sucrose
2219: Sulfate (Sulfuric acid)
2220: Sulfur (Elemental sulfur)
2221: Taurine
2222: Taurochenodeoxycholate
2223: Taurocholate
2224: Taurodeoxycholate
2225: Taurolithocholate
2226: Thiamine (Vitamin B1, Thiamin)
2227: Thiosulfate
2228: Thymidine
2229: Thymine
2230: Toluene
2231: Trehalose
2232: Triglyceride
2233: Trimethylamine
2234: Trimethylamine N-oxide (Trimethylamine-N-oxide)
2235: Tryptamine
2236: Tyramine
2237: Uracil
2238: Urea
2239: Uridine
2240: Valerate (Pentanoic acid, Pentanoate)
2241: Xanthine
2242: XOS (Xylooligosaccharide)
2243: Xylitol
